date;time;log_level;class;thread;message
2019-12-24;16:32:56,096;WARN;org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver;[http-nio-8080-exec-6];Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2019-12-24;16:32:59,972;INFO;com.example.demo.controllers.OrderController;[http-nio-8080-exec-7];Order retrieved from the H2 database for user Mattia
2019-12-24;16:34:11,153;WARN;org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver [http-nio-8080-exec-10] Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'java.lang.Long'; nested exception is java.lang.NumberFormatException: For input string: "GoldBar"]
2019-12-24;16:34:30,803;INFO;com.example.demo.controllers.ItemController;[http-nio-8080-exec-1];Item with id 3 found. Returning the relative data.
2019-12-24;16:34:43,634;WARN;org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver;[http-nio-8080-exec-3];Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'java.lang.Long'; nested exception is java.lang.NumberFormatException: For input string: ""GoldBar""]
2019-12-24;16:34:56,147;INFO;com.example.demo.controllers.ItemController;[http-nio-8080-exec-5];Retrieving item "Gold Bar"...
2019-12-24;16:34:56,149;INFO;com.example.demo.controllers.ItemController;[http-nio-8080-exec-5];Item "Gold Bar" not found.
2019-12-24;16:35:04,889;INFO;com.example.demo.controllers.ItemController;[http-nio-8080-exec-6];Retrieving item Gold Bar...
2019-12-24;16:35:49,457;INFO;com.example.demo.controllers.ItemController;[http-nio-8080-exec-7];Retrieving item Gold Bar...
2019-12-24;16:35:52,248;INFO;com.example.demo.controllers.ItemController;[http-nio-8080-exec-8];Item with id 1 found. Returning the relative data.
2019-12-24;16:36:02,309;INFO;org.springframework.scheduling.concurrent.ExecutorConfigurationSupport [Thread-4] Shutting down ExecutorService 'applicationTaskExecutor'
2019-12-24;16:36:02,312;INFO;org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [Thread-4] Closing JPA EntityManagerFactory for persistence unit 'default'
2019-12-24;16:36:02,314;INFO;com.zaxxer.hikari.HikariDataSource [Thread-4] HikariPool-1 - Shutdown initiated...
